prod_descricao;prod_marca;prod_price;prod_dataref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
Gel Esfoliante Facial Neutrogena Acne Proofing - 100g; Neutrogena;49.9;23/08/2024 15:07;32.4;17;9;31.1;22;9;38.4;29;11;16.1;82;5;34.1;34;9;tarde
Gel Limpeza Deep Clean Neutrogena Grapefruit - 60g; Neutrogena;24.59;30/08/2024 18:38;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
Gel Limpeza Deep Clean Neutrogena Grapefruit - 60g; Neutrogena;24.59;02/09/2024 07:50;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha
Gel Limpeza Deep Clean Neutrogena Grapefruit - 60g; Neutrogena;24.59;26/08/2024 09:55;11.3;71;5;18.1;73;7;21.3;43;7;12.1;62;5;17.2;88;5;manha
Gel Limpeza Deep Clean Neutrogena Grapefruit - 60g; Neutrogena;24.59;03/09/2024 13:44;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde
Gel de Limpeza Profunda Deep Clean Neutrogena - 150g; Neutrogena;37.99;26/08/2024 16:18;16.2;42;6;28.1;35;8;29.1;29;10;17.0;52;5;18.1;64;5;tarde
Gel de Limpeza Profunda Deep Clean Neutrogena - 150g; Neutrogena;37.99;24/08/2024 22:49;15.3;94;1;22.1;46;1;29.4;66;1;12.0;71;1;23.3;78;1;noite
Hidratante Corporal Intensivo Neutrogena Norwegian sem Fragrância - 400ml; Neutrogena;79.9;30/08/2024 08:40;20.1;60;8;20.0;56;7;25.4;79;8;19.1;83;7;20.3;88;7;manha
Hidratante Corporal Intensivo Neutrogena Norwegian sem Fragrância - 400ml; Neutrogena;79.9;29/08/2024 18:35;24.4;44;1;26.2;39;1;34.1;41;9;20.3;73;1;23.0;69;1;noite
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;30/08/2024 08:40;20.1;60;8;20.0;56;7;25.4;79;8;19.1;83;7;20.3;88;7;manha
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;29/08/2024 18:35;24.4;44;1;26.2;39;1;34.1;41;9;20.3;73;1;23.0;69;1;noite
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;30/08/2024 18:38;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;26/08/2024 22:46;8.3;71;1;22.2;53;1;24.3;54;1;12.4;82;1;18.1;64;1;noite
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;03/09/2024 13:44;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;26/08/2024 22:46;11.2;71;5;22.0;57;7;22.2;57;7;13.4;77;6;19.4;60;6;noite
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;25/08/2024 13:26;12.3;82;4;29.3;29;9;29.2;45;9;16.3;51;5;20.3;83;6;tarde
Hidratante Corporal Neutrogena - Body Care Intensive Hidrata&Repara - 200ml; Neutrogena;23.9;23/08/2024 15:07;32.4;17;9;31.1;22;9;38.4;29;11;16.1;82;5;34.1;34;9;tarde
Hidratante Facial Epidrat Calm Mantecorp Skincare - 40g; Mantecorp Skincare;74.9;10/09/2024 09:01;23.1;44;8;23.2;44;8;27.0;84;8;22.3;83;7;24.3;74;8;manha
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;26/08/2024 22:46;11.2;71;5;22.0;57;7;22.2;57;7;13.4;77;6;19.4;60;6;noite
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;26/08/2024 09:55;11.3;71;5;18.1;73;7;21.3;43;7;12.1;62;5;17.2;88;5;manha
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;26/08/2024 22:46;8.3;71;1;22.2;53;1;24.3;54;1;12.4;82;1;18.1;64;1;noite
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;23/08/2024 15:07;32.4;17;9;31.1;22;9;38.4;29;11;16.1;82;5;34.1;34;9;tarde
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;27/08/2024 18:17;12.1;71;1;28.3;35;7;32.4;34;10;15.0;72;1;19.0;64;1;noite
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;03/09/2024 13:44;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;29/08/2024 18:35;24.4;44;1;26.2;39;1;34.1;41;9;20.3;73;1;23.0;69;1;noite
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;02/09/2024 07:50;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha
Hidratante Facial Neutrogena Face Care Antissinais Dia FPS 22 - 100g; Neutrogena;37.99;29/08/2024 10:47;17.3;72;7;22.2;61;7;26.3;65;9;21.4;60;7;21.3;73;7;manha
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;08/09/2024 17:18;32.2;24;8;29.2;20;8;36.3;35;11;21.3;83;7;28.0;66;7;tarde
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;05/09/2024 07:09;20.4;60;8;16.3;55;8;26.0;84;8;16.2;82;4;21.3;100;8;manha
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;30/08/2024 08:40;20.1;60;8;20.0;56;7;25.4;79;8;19.1;83;7;20.3;88;7;manha
