prod-descr;prod-marca;prod-preco;data-ref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;per_manha;per_noite;per_tarde;data-ref-segundos;ano;mes;dia;soma;media;soma-p;media-p;soma-z;media-z;dia_da_semana;origem_AMAZON;origem_BNW;origem_EPOCA
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de prevenir a oleosidade excessiva e proporciona efeito matte;BDF NIVEA;36.51;2024-09-17 09:11:00;-0.7685059236518497;0.9399135904969094;-0.042456357870644;0.16377654121952445;0.09153275629465002;0.6727245435098583;-0.7525986134570899;0.793868969961153;0.44307830948872473;0.11060473189844469;-0.47517425003524794;0.6695663390421275;-1.046439971674745;1.909081145915854;0.2945726480740352;1;0;0;1.2680479056676948;2024;9;17;0.5174484846459957;0.5174484846459957;-0.7916033678495219;-0.7916033678495218;-0.7347533069818313;-0.7347533069818313;1;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de prevenir a oleosidade excessiva e proporciona efeito matte;BDF NIVEA;36.51;2024-09-17 20:11:00;-0.9200015616232191;0.9399135904969094;-1.2855440340019857;0.596499510324551;-0.3396513131035243;-1.5578070043457781;0.18586348906175423;0.14413127940060427;-1.6271328603216955;0.13898746236425644;0.42219502819956456;-1.2851805786905242;-0.5402124868782459;0.04949782157310307;-1.2541892327819162;0;1;0;1.3187985449687825;2024;9;17;-1.0343015517198642;-1.0343015517198642;-0.9407663827172501;-0.94076638271725;-1.0312178786480384;-1.0312178786480384;1;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de prevenir a oleosidade excessiva e proporciona efeito matte;BDF NIVEA;36.51;2024-09-18 11:31:00;-0.32916857353487844;0.22523122715797753;0.5790874801950269;0.596499510324551;0.1633967678610124;0.6727245435098583;0.25805288156320305;-0.26933816004701766;0.7018547057150273;0.6498766107488791;-0.8341219613291729;0.2786169554955971;0.019302101581043517;-0.776983655912564;0.9140774004164157;1;0;0;1.3895418603581775;2024;9;18;0.44336864586200075;0.4433686458620007;-0.7987243421269349;-0.7987243421269349;-0.748906390377681;-0.748906390377681;2;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de prevenir a oleosidade excessiva e proporciona efeito matte;BDF NIVEA;36.51;2024-09-18 19:58:00;-0.6018607218833436;1.17814104494322;-1.2855440340019857;0.5748633618693001;0.1633967678610124;-1.5578070043457781;0.47462105906755125;-0.03306990893409083;-1.6271328603216955;0.42281476702238;-0.02648961091784168;-1.2851805786905242;-0.19384631307011438;-0.776983655912564;-1.2541892327819162;0;1;0;1.4285275787303766;2024;9;18;-0.9536179891304675;-0.9536179891304675;-0.9330106210519957;-0.9330106210519956;-1.0158031422130462;-1.0158031422130462;2;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de prevenir a oleosidade excessiva e proporciona efeito matte;BDF NIVEA;36.51;2024-09-20 09:54:00;0.6101043818876121;0.10611749993482221;1.2006313182606978;0.1421403927642736;0.3071247909937372;0.6727245435098583;-0.05476781927641081;0.14413127940060427;0.7018547057150273;0.4511974974881928;1.4093012342578584;0.6695663390421275;0.5521731382089378;-0.15712254779831372;0.9140774004164157;1;0;0;1.6035403894110973;2024;9;20;1.4127640691570167;1.4127640691570165;-0.7055405557251604;-0.7055405557251605;-0.5637016910335793;-0.5637016910335793;4;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antiacne FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de prevenir a oleosidade excessiva e proporciona efeito matte;BDF NIVEA;36.51;2024-09-20 18:08:00;1.185787806178816;-0.8467923178504203;0.26831556116219146;0.8128609948770642;-0.48337933623624907;0.6727245435098583;1.6296513390907443;-1.6278806039463467;0.9606311019413297;0.13898746236425644;1.4093012342578584;0.2786169554955971;0.818608656522885;-0.15712254779831372;-1.2541892327819162;0;1;0;1.641526473978881;2024;9;20;0.5841064417165693;0.5841064417165693;-0.7851958269385796;-0.7851958269385796;-0.7220181871313732;-0.7220181871313732;4;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-08-29 13:06:00;0.4131600525248322;-0.4497465604399026;0.8898593992278623;0.3801380257720377;0.09153275629465002;0.6727245435098583;0.9318205449100662;-1.0372099761640299;0.9606311019413297;1.3310621419283752;-1.5520173839170228;1.0605157225886577;0.04594565341243766;-0.5014898300840084;0.6043250242452255;0;0;1;-0.8177264746989784;2024;8;29;0.6133330797036072;0.6133330797036072;-0.715452781359231;-0.715452781359231;-0.6501157921225633;-0.6501157921225633;3;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-08-29 18:49:00;0.4586087439162426;-0.5688602876630579;-1.2855440340019857;0.16377654121952445;0.09153275629465002;-1.5578070043457781;0.9077574140762493;-0.9190758506075664;0.44307830948872473;0.4511974974881928;-0.47517425003524794;-1.2851805786905242;-0.27377696856429873;-0.22599600425545263;-1.2541892327819162;0;1;0;-0.7913515212440192;2024;8;29;-1.183407157906661;-1.183407157906661;-0.8881656439306851;-0.8881656439306852;-0.9933861723096067;-0.9933861723096067;3;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-08-30 08:50:00;-0.19282249936064563;0.06641292419377044;0.8898593992278623;-1.1776646630060577;1.3132209529228105;0.35407717953048173;-1.1857349684657872;1.3254725349652383;0.1843019132624222;0.11060473189844469;0.42219502819956456;1.0605157225886577;-0.9931528680119558;1.082599668430187;0.6043250242452255;1;0;0;-0.7266829035891483;2024;8;30;0.7271590075425582;0.7271590075425582;-0.7045111875659822;-0.7045111875659821;-0.6283691485585564;-0.6283691485585564;4;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-08-30 08:50:00;-0.19282249936064563;0.06641292419377044;0.8898593992278623;-1.1776646630060577;1.3132209529228105;0.35407717953048173;-1.1857349684657872;1.3254725349652383;0.1843019132624222;0.11060473189844469;0.42219502819956456;1.0605157225886577;-0.9931528680119558;1.082599668430187;0.6043250242452255;1;0;0;-0.7266829035891483;2024;8;30;0.7271590075425582;0.7271590075425582;-0.7045111875659822;-0.7045111875659821;-0.6283691485585564;-0.6283691485585564;4;1.0;0.0;0.0
